sigla;evento;Qualis_Final;
CSBIO;International Conference on Computational Systems-Biology and Bioinformatics;B2;
CSCL;International Conference on Computer Supported Collaborative Learning;A4;
CSCN;IEEE Conference on Standards for Communications and Networking;A3;
CSCW;ACM Conference on Computer Supported Cooperative Work & Social Computing;A1;
CSCWD;IEEE International Conference on Computer Supported Cooperative Work in Design;A3;
CSDS;Conference of the System Dynamics Society;B3;
CSE;International Conference on Computational Science and Engineering;A4;
CSEDU;International Conference on Computer Supported Education;A3;
CSEE&T;Conference on Software Engineering Education and Training;A3;
CSF;IEEE Computer Security Foundations Symposium;A2;
CSI-SE;International Workshop on Crowdsourcing in Software Engineering;B2;
CSL;Conference for Computer Science Logic;A3;
CSMC;Conference on Computer Simulation of Musical Creativity;B3;
CSNDSP;International Symposium on Communication Systems, Networks and Digital Signal Processing;A4;
CSNet;Cyber Security in Networking Conference;B1;
CSOUND;International CSound Conference;B3;
CTE;International Conference on Computational Thinking Education;B2;
CTS;International Conference on Collaboration and Technology;B4;
CVPR;IEEE Conference on Computer Vision and Pattern Recognition;A1;
CVPRW;IEEE Conference on Computer Vision and Pattern Recognition Workshops;B3;
CyberSA;International Conference on Cyber Situational Awareness, Data Analytics and Assessment;B2;
CyberSecurity;International Conference on Cyber Security And Protection Of Digital Services;B1;
DAC;Design Automation Conference;A1;
DAFX;International Conference on Digital Audio Effects;B2;
DAMON;International Workshop on Data Management on New Hardware;B2;
DARS;International Symposium on Distributed Autonomous Robotic Systems;B4;
DASC;IEEE International Conference on Dependable, Autonomic & Secure Computing;B4;
DASFAA;International Conference on Database Systems for Advanced Applications;A3;
DASIP;Conference on Design and Architectures for Signal and Image Processing;B3;
DATA;International Conference on Data Science, Technology and Applications;B4;
DATAANALYTICS- IARIA;IARIA International Conference on Data Analytics;B4;
DATE;Design, Automation and Test in Europe Conference and Exhibition;A1;
DAWAK;International Conference on Big Data Analytics and Knowledge Discovery;B2;
DBKD-AIARIA;IARIA International Conference on Advances in Databases, Knowledge, and Data Applications;B4;
DBSec;IFIP WG 11.3 Conference on Data and Applications Security and Privacy;B1;
DCAI;International Symposium on Distributed Computing and Artificial Intelligence;B1;
DCASE;Workshop on Detection and Classification of Acoustic Scenes and Events;A4;
DCC;Data Compression Conference;A3;
DCOSS;International Conference on Distributed Computing in Sensor Systems;A4;
DDECS;IEEE International Symposium on Design and Diagnostics of Electronic Circuits and Systems;B1;
DEBS;International Conference on Distributed and Event-Based Systems;A3;
DEPCOS;International Conference on Dependability and Complex Systems;B2;
DESAFIE;Workshop de Desafios da Computação Aplicada à Educação;B4;
DEXA;International Conference on Database and Expert Systems Applications;A4;
DFT;IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems;B1;
DGCI;Discrete Geometry for Computer Imagery;B3;
DGO;Annual International Conference on Digital Government Research;A3;
DH;Digital Heritage;B4;
DIGRA;Digital Games Research Association International Conference;A3;
DILS;International Conference on Data Integration in Life Sciences;B3;
DIMVA;International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment;A3;
DIS;Conference on Designing Interactive Systems;A1;
DISC;International Symposium on Distributed Computing;A3;
DIVANET;ACM Symposium on Development and Analysis of Intelligent Vehicular Networks and Applications;B3;
DL;International Workshop on Description Logics;A4;
DLS;Dynamic Languages Symposium;B3;
DMA;International Conference on Data Mining and Applications;B1;
DMSVIVA;International DMS Conference on Visualization and Visual Languages;B4;
DOCENG;ACM Symposium on Document Engineering;A4;
DOLAP;International Workshop On Data Warehousing and OLAP;B4;
DPM;International Workshop on Data Privacy Management;B4;
DRCN;International Conference on the Design of Reliable Communication Networks;B1;
DS;International Conference on Discovery Science;B1;
DS-RT;IEEE/ACM International Symposium on Distributed Simulation and Real- Time Applications;B2;
DSAA;IEEE International Conference on Data Science and Advanced Analytics;A3;
DSAI;International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion;B2;
DSC;IEEE Conference on Dependable and Secure Computing;B1;
DSD;Euromicro Conference on Digital System Design, Architectures, Methods and Tools;A3;
DSN;Annual IEEE/IFIP International Conference on Dependable Systems and Networks;A1;
DSNW;IEEE International Conference on Dependable Systems and Networks Workshops;B3;
DSP;International Conference on Digital Signal Processing;A4;
DTIS;Design & Technology of Integrated Systems in Nanoscale Era;B2;
DySPAN;IEEE Symposium on New Frontiers in Dynamic Spectrum Access Networks;A4;
EACL;Conference of the European Chapter of the Association for Computational Linguistics;A1;
EASE;International Conference on Evaluation and Assessment in Software Engineering;A3;
EATIS;Euro American Conference on Telematics and Information Systems;B3;
EC;ACM conference on Economics and Computation;A1;
EC-TEL;European Conference on Technology Enhanced Learning;A3;
ECAI;European Conference on Artificial Intelligence;A3;
ECASE;IEEE/ACM International Workshop on Establishing the Community-Wide Infrastructure for Architecture-Based Software Engineering;B4;
ECC;European Control Conference;A3;
ECCTD;European Conference on Circuit Theory and Design;B2;
ECCV;European Conference on Computer Vision;A1;
ECIR;European Conference on Information Retrieval;A2;
ECIS;European Conference on Information Systems;A2;
ECML;European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases;A2;
ECMR;European Conference on Mobile Robots;A3;
ECMS;European Conference on Modelling and Simulation;B1;
ECOOP;European Conference on Object-Oriented Programming;A3;
ECRTS;Euromicro Conference on Real-Time Systems;A3;
ECSA;European Conference on Software Architecture;A4;
ECSCW;European Conference on Computer Supported Cooperative Work;B3;
ECSQARU;European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty;B3;
EDBT;International Conference on Extending Database Technology;A2;
EDCC;European Dependable Computing Conference;A4;
EDGE;International Conference on Edge Computing;A3;
EDM;International Conference on Educational Data Mining;A2;
EDOC;IEEE International Enterprise Distributed Object Computing Conference;A4;
EDUCOMP;Simpósio Brasileiro de Educação em Computação;B3;
EDUCON;IEEE Global Engineering Education Conference;B3;
EECS;European Conference on Electrical Engineering and Computer Science;B3;
EEEWC;International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government;B4;
EGOV;International Conference on Electronic Government;B1;
EGOV-CEDEM- EPART;International Conference on Electronic Government/International Conference for E-Democracy and Open Government;B1;
EGOVIS;International Conference on Electronic Government and the Information Systems Perspective;B3;
EICS;ACM SIGCHI Symposium on Engineering Interactive Computing Systems;A4;
EIT;International Conference on Electro Information Technology;A3;
EJC;International Conference on Information Modeling and Knowledge;B3;
EM-GIS;International Workshop on the Use of GIS in Emergency Management;B4;
EMAS;International Workshop on Engineering Multiagent Systems;B4;
EMBC;Annual International Conference of the IEEE Engineering in Medicine and Biology Society;A1;
EMBS;IEEE-EMBS International Conference on Biomedical and Health Informatics;A3;
EMNLP;Conference on Empirical Methods in Natural Language Processing;A1;
EMO;International Conference on Evolutionary Multi-Criterion Optimization;B1;
EMSOFT;ACM International Conference on Embedded Software;B3;
ENANPAD;Encontro Nacional da Associação Nacional de Pós-Graduação e Pesquisa em Administração;B3;
ENASE;International Conference on Evaluation of Novel Approaches to Software Engineering;B1;
ENCP;ACM CoNEXT Workshop on Emerging in-Network Computing Paradigms;B4;
ENIAC;Encontro Nacional de Inteligencia Artificial e Computacional;B4;
EPIA;Portuguese Conference on Artificial Intelligence;B2;
ER;International Conference on Conceptual Modeling;A3;
Ergodesign;Congresso Internacional de Ergonomia e Usabilidade de Interfaces Humano Tecnológica;B4;
ESA;European Symposium on Algorithms;A3;
ESANN;European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning;A3;
ESCIENCE;IEEE International Conference on e-Science;A3;
ESELAW;Workshop Latinoamericano de Ingeniería de Software Experimental;B4;
ESEM;ACM/IEEE International Symposium on Empirical Software Engineering and Measurement;A2;
ESOCC;European Conference on Service-Oriented and Cloud Computing;B1;
ESOP;European Symposium on Programming;A2;
ESORICS;European Symposium on Research in Computer Security;A2;
ESSCIRC;European Solid State Circuits Conference;A3;
ESSDERC;European Solid State Device Research Conference;A4;
ESWC;Extended Semantic Web Conference;A2;
ESWS;European Semantic Web Conference;A2;
ETC;Encontro de Teoria da Computação;B4;
ETFA;IEEE International Conference on Emerging Technologies and Factory Automation;A2;
ETRA;ACM Symposium on Eye Tracking Research & Applications;A3;
ETS;IEEE European Test Symposium;A4;
EUC;IEEE/IFIP International Conferences on Embedded and Ubiquitous Computing;B4;
EuCNC;European Conference on Networks and Communications;A2;
EUMAS;European Conference on Multi-Agent Systems;B4;
EURO;European Conference on Operational Research;B4;
EUROCOMB;European Conference on Combinatorics, Graph Theory and Applications;B2;
EUROCRYPT;International Conference on Theory and Applications of Cryptographic Techniques;A1;
EUROGRAPHICS;European Association for Computer Graphics;A1;
EUROHAPTICS;Eurohaptics;A4;
EuroMPI;European MPI Users Group Meeting;B4;
EUROPAR;European Conference on Parallel Computing;A3;
