issn;periodico;Ajuste_SBC;link_scopus;percentil;Qualis_Final;data-atualizacao;data-tentativa;logs
1387-3326;INFORMATION SYSTEMS FRONTIERS (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15572;93;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0924-9338;EUROPEAN PSYCHIATRY (PARIS);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15578;88;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1460-7425;JASSS (GUILDFORD);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15591;92;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0141-0296;ENGINEERING STRUCTURES;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15652;90;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0021-9746;JOURNAL OF CLINICAL PATHOLOGY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15875;88;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0266-3538;COMPOSITES SCIENCE AND TECHNOLOGY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=15995;98;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0167-7799;TRENDS IN BIOTECHNOLOGY (REGULAR ED.);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=16146;98;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1520-9210;IEEE TRANSACTIONS ON MULTIMEDIA;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=16211;99;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1461-4448;NEW MEDIA AND SOCIETY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=16306;99;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0032-0889;PLANT PHYSIOLOGY (BETHESDA);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=16615;97;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0032-0935;PLANTA (HEIDELBERG;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=16646;90;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0938-7994;EUROPEAN RADIOLOGY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=16687;94;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0278-0062;IEEE TRANSACTIONS ON MEDICAL IMAGING (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=16733;99;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0270-6474;THE JOURNAL OF NEUROSCIENCE;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=16764;95;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0920-4105;JOURNAL OF PETROLEUM SCIENCE & ENGINEERING;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17013;95;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1435-604X;LASERS IN MEDICAL SCIENCE (INTERNET);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17065;89;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0897-1889;JOURNAL OF DIGITAL IMAGING;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17223;88;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1618-727X;JOURNAL OF DIGITAL IMAGING (INTERNET);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17223;88;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0163-6804;IEEE COMMUNICATIONS MAGAZINE (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17249;99;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1545-598X;IEEE GEOSCIENCE AND REMOTE SENSING LETTERS (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17259;95;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1361-8415;MEDICAL IMAGE ANALYSIS (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17271;98;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
1070-9908;IEEE SIGNAL PROCESSING LETTERS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17316;93;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0018-9251;IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17336;92;A1;08/05/2023 21:51;08/05/2023 21:51;atualizado com sucesso
0018-9286;IEEE TRANSACTIONS ON AUTOMATIC CONTROL (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17339;94;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
1545-5955;IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17340;93;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
1063-6536;IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17342;93;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0018-9359;IEEE TRANSACTIONS ON EDUCATION;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17344;93;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0196-2892;IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17360;98;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0093-9994;IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17361;92;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
1041-4347;IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17362;96;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0885-8977;IEEE TRANSACTIONS ON POWER DELIVERY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17370;91;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0018-9529;IEEE TRANSACTIONS ON RELIABILITY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17387;95;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0018-9545;IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17393;98;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
1865-9284;MEMETIC COMPUTING;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17400154829;95;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0885-3185;MOVEMENT DISORDERS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17407;97;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0223-5234;EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17464;94;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
1053-8119;NEUROIMAGE (ORLANDO, FLA. PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17495;95;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
1943-3921;ATTENTION, PERCEPTION & PSYCHOPHYSICS (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17500155126;92;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
1754-3266;INTERNATIONAL JOURNAL OF FASHION DESIGN, TECHNOLOGY AND EDUCATION;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17600155309;96;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0360-1315;COMPUTERS AND EDUCATION;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17645;99;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
1749-4680;COMPUTATIONAL SCIENCE & DISCOVERY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17800156778;89;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
