ISSN UNIFICADO;ISSN;TÍTULO;ID ÁREA MÃE ;ÁREA MÃE
;0030-3887;OPSEARCH (DELHI);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0030-6126;OSAKA JOURNAL OF MATHEMATICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0030-8730;PACIFIC JOURNAL OF MATHEMATICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0031-5303;PERIODICA MATHEMATICA HUNGARICA (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0031-8248;PHILOSOPHY OF SCIENCE (EAST LANSING);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0032-5155;PORTUGALIAE MATHEMATICA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0033-3883;PUBLICATIONES MATHEMATICAE (DEBRECEN);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1464-3847;0033-5606;QUARTERLY JOURNAL OF MATHEMATICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0033-569X;QUARTERLY OF APPLIED MATHEMATICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0034-4877;REPORTS ON MATHEMATICAL PHYSICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0034-5318;PUBLICATIONS OF THE RESEARCH INSTITUTE FOR MATHEMATICAL SCIENCES;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0034-6861;REVIEWS OF MODERN PHYSICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0034-7175;REVISTA BRASILEIRA DE ESTATÍSTICA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0035-3965;REVUE ROUMAINE DE MATHÉMATIQUES PURES ET APPLIQUÉES;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0035-7596;THE ROCKY MOUNTAIN JOURNAL OF MATHEMATICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0035-9254;APPLIED STATISTICS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0036-0279;RUSSIAN MATHEMATICAL SURVEYS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0036-1399;SIAM JOURNAL ON APPLIED MATHEMATICS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0036-1410;SIAM JOURNAL ON MATHEMATICAL ANALYSIS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1095-7170;0036-1429;SIAM JOURNAL ON NUMERICAL ANALYSIS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0037-1912;SEMIGROUP FORUM;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0037-8712;BOLETIM DA SOCIEDADE PARANAENSE DE MATEMÁTICA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0037-9484;BULLETIN DE LA SOCIÉTÉ MATHÉMATIQUE DE FRANCE;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0038-1527;SOPHIA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0038-271X;SOUTH AFRICAN STATISTICAL JOURNAL;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0039-0402;STATISTICA NEERLANDICA (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0039-3169;STUDIA GEOPHYSICA ET GEODAETICA (PRAHA);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0039-3223;STUDIA MATHEMATICA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0040-5779;THEORETICAL AND MATHEMATICAL PHYSICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0040-5809;THEORETICAL POPULATION BIOLOGY (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
